Year	Month	Day	Hour	Minute	operation	Machine 
2021	1	29	19	2	operating	Grinding
2021	1	29	19	10	error	Grinding
2021	1	29	19	10	stopped	EDM
2021	1	29	19	11	error	TCT
2021	1	29	19	11	stopped	TCT
2021	1	29	19	17	operating	CNC
2021	1	29	19	56	stopped	MCT
2021	1	29	19	57	operating	Mill-Turn
2021	1	29	21	12	error	Grinding
2021	1	29	21	13	stopped	Boring
2021	1	29	21	13	operating	EDM
2021	1	29	22	2	stopped	TCT
2021	1	29	22	4	operating	MCT
2021	1	29	22	45	stopped	MCT
2021	1	29	22	49	operating	CNC
2021	1	29	22	50	stopped	MCT
2021	1	29	22	51	operating	Mill-Turn
2021	1	29	22	53	stopped	Grinding
2021	1	29	22	53	operating	TCT
2021	1	29	22	55	stopped	MCT
2021	1	29	22	55	operating	MCT
2021	1	29	23	15	error	CNC
2021	1	29	23	16	stopped	MCT
2021	1	29	23	16	error	MCT
2021	1	29	23	16	stopped	Mill-Turn
2021	1	29	23	17	operating	Grinding
2021	1	29	23	17	error	TCT
2021	1	29	23	18	stopped	MCT
2021	1	29	23	18	operating	MCT
2021	1	30	1	11	error	CNC
2021	1	30	1	11	stopped	TCT
2021	1	30	1	12	operating	TCT
2021	1	30	1	12	error	Grinding
2021	1	30	1	12	stopped	Boring
2021	1	30	1	12	operating	CNC
2021	1	30	2	33	stopped	MCT
2021	1	30	2	33	operating	Boring
2021	1	30	3	6	error	EDM
2021	1	30	3	6	stopped	TCT
2021	1	30	3	6	operating	CNC
2021	1	30	3	6	error	CNC
2021	1	30	3	7	stopped	MCT
2021	1	30	3	7	operating	Grinding
2021	1	30	3	19	stopped	Boring
2021	1	30	3	30	operating	EDM
2021	1	30	3	31	stopped	EDM
2021	1	30	3	32	operating	TCT
2021	1	30	3	34	stopped	Grinding
2021	1	30	3	34	operating	Mill-Turn
2021	1	30	3	35	stopped	MCT
2021	1	30	3	35	operating	MCT
2021	1	30	5	12	error	CNC
2021	1	30	5	13	stopped	CNC
2021	1	30	5	13	operating	Mill-Turn
2021	1	30	5	13	error	CNC
2021	1	30	5	13	stopped	CNC
2021	1	30	5	13	operating	Boring
2021	1	30	5	33	stopped	Grinding
2021	1	30	5	33	operating	MCT
2021	1	30	5	34	stopped	TCT
2021	1	30	5	44	operating	CNC
2021	1	30	5	45	stopped	CNC
2021	1	30	5	46	operating	Grinding
2021	1	30	5	46	stopped	Boring
2021	1	30	5	47	operating	Boring
2021	1	30	5	48	stopped	MCT
2021	1	30	5	48	operating	CNC
2021	1	30	7	19	error	EDM
2021	1	30	7	21	stopped	TCT
2021	1	30	7	22	operating	EDM
2021	1	30	7	56	stopped	EDM
2021	1	30	8	1	operating	TCT
2021	1	30	8	1	stopped	EDM
2021	1	30	8	2	operating	Mill-Turn
2021	1	30	8	3	stopped	EDM
2021	1	30	8	3	operating	CNC
2021	1	30	8	4	stopped	TCT
2021	1	30	8	4	operating	TCT
2021	1	30	8	5	stopped	Grinding
2021	1	30	8	5	operating	Boring
2021	1	30	9	21	error	CNC
2021	1	30	9	22	stopped	CNC
2021	1	30	9	22	operating	MCT
2021	1	30	9	40	error	Grinding
2021	1	30	9	41	stopped	Boring
2021	1	30	9	44	operating	Grinding
2021	1	30	9	44	stopped	MCT
2021	1	30	9	48	operating	CNC
2021	1	30	9	49	stopped	EDM
2021	1	30	9	49	operating	TCT
2021	1	30	11	7	stopped	TCT
2021	1	30	11	8	operating	Mill-Turn
2021	1	30	11	25	error	MCT
2021	1	30	11	25	stopped	MCT
2021	1	30	11	26	operating	CNC
2021	1	30	13	20	error	Boring
2021	1	30	13	20	stopped	Mill-Turn
2021	1	30	13	20	error	EDM
2021	1	30	13	20	stopped	TCT
2021	1	30	13	21	operating	Grinding
2021	1	30	13	21	error	Boring
2021	1	30	13	22	stopped	TCT
2021	1	30	13	22	operating	CNC
2021	1	30	15	17	error	CNC
2021	1	30	15	18	stopped	Boring
2021	1	30	15	18	operating	CNC
2021	1	30	15	47	error	Mill-Turn
2021	1	30	15	49	stopped	CNC
2021	1	30	15	50	operating	CNC
2021	1	30	15	50	stopped	CNC
2021	1	30	15	51	error	Mill-Turn
2021	1	30	15	51	stopped	Boring
